2019-04-14 12:50:35.126 [Thread-0] REQUEST requestLogger - client : c1 with account number :10006 , transactin : 1, amount: -300
2019-04-14 12:50:36.498 [Thread-0] REQUEST requestLogger - client : c1 with account number :10002 , transactin : 2, amount: -100
2019-04-14 12:50:38.498 [Thread-0] REQUEST requestLogger - client : c1 with account number :10003 , transactin : 3, amount: 200
2019-04-14 12:50:40.498 [Thread-0] REQUEST requestLogger - client : c1 with account number :10004 , transactin : 4, amount: -100
2019-04-14 12:50:42.499 [Thread-0] REQUEST requestLogger - client : c1 with account number :10005 , transactin : 5, amount: 300
2019-04-14 12:51:56.833 [Thread-0] REQUEST requestLogger - client : c1 with account number :10006 , transactin : 1, amount: -300
2019-04-14 12:51:58.265 [Thread-0] REQUEST requestLogger - client : c1 with account number :10002 , transactin : 2, amount: -100
2019-04-14 12:52:00.265 [Thread-0] REQUEST requestLogger - client : c1 with account number :10003 , transactin : 3, amount: 200
2019-04-14 12:52:02.265 [Thread-0] REQUEST requestLogger - client : c1 with account number :10004 , transactin : 4, amount: -100
2019-04-14 12:52:04.265 [Thread-0] REQUEST requestLogger - client : c1 with account number :10005 , transactin : 5, amount: 300
2019-04-14 13:00:04.914 [Thread-0] REQUEST requestLogger - client : c1 with account number :10006 , transactin : 1, amount: -300
2019-04-14 13:00:06.400 [Thread-0] REQUEST requestLogger - client : c1 with account number :10002 , transactin : 2, amount: -100
2019-04-14 13:00:08.400 [Thread-0] REQUEST requestLogger - client : c1 with account number :10003 , transactin : 3, amount: 200
2019-04-14 13:00:10.400 [Thread-0] REQUEST requestLogger - client : c1 with account number :10004 , transactin : 4, amount: -100
2019-04-14 13:00:12.400 [Thread-0] REQUEST requestLogger - client : c1 with account number :10005 , transactin : 5, amount: 300
2019-04-14 13:00:22.512 [Thread-0] REQUEST requestLogger - client : c1 with account number :10006 , transactin : 1, amount: -300
2019-04-14 13:00:23.801 [Thread-0] REQUEST requestLogger - client : c1 with account number :10002 , transactin : 2, amount: -100
2019-04-14 13:00:25.674 [Thread-0] REQUEST requestLogger - client : c1 with account number :10003 , transactin : 3, amount: 200
2019-04-14 13:00:27.674 [Thread-0] REQUEST requestLogger - client : c1 with account number :10004 , transactin : 4, amount: -100
2019-04-14 13:00:29.674 [Thread-0] REQUEST requestLogger - client : c1 with account number :10005 , transactin : 5, amount: 300
2019-04-14 13:04:34.039 [Thread-0] REQUEST requestLogger - client : c1 with account number :10006 , transactin : 1, amount: -300
2019-04-14 13:04:35.469 [Thread-0] REQUEST requestLogger - client : c1 with account number :10002 , transactin : 2, amount: -100
2019-04-14 13:04:37.469 [Thread-0] REQUEST requestLogger - client : c1 with account number :10003 , transactin : 3, amount: 200
2019-04-14 13:04:39.469 [Thread-0] REQUEST requestLogger - client : c1 with account number :10004 , transactin : 4, amount: -100
2019-04-14 13:04:41.470 [Thread-0] REQUEST requestLogger - client : c1 with account number :10005 , transactin : 5, amount: 300
2019-04-14 13:17:48.158 [Thread-0] REQUEST requestLogger - client : c1 with account number :10006 , transactin : 1, amount: -300
2019-04-14 13:17:49.544 [Thread-0] REQUEST requestLogger - client : c1 with account number :10002 , transactin : 2, amount: -100
2019-04-14 13:17:51.544 [Thread-0] REQUEST requestLogger - client : c1 with account number :10003 , transactin : 3, amount: 200
2019-04-14 13:17:53.544 [Thread-0] REQUEST requestLogger - client : c1 with account number :10004 , transactin : 4, amount: -100
2019-04-14 13:17:55.544 [Thread-0] REQUEST requestLogger - client : c1 with account number :10005 , transactin : 5, amount: 300
2019-04-14 13:20:06.794 [Thread-0] REQUEST requestLogger - client : c1 with account number :10006 , transactin : 1, amount: -300
2019-04-14 13:20:08.205 [Thread-0] REQUEST requestLogger - client : c1 with account number :10002 , transactin : 2, amount: -100
2019-04-14 13:20:10.205 [Thread-0] REQUEST requestLogger - client : c1 with account number :10003 , transactin : 3, amount: 200
2019-04-14 13:20:12.205 [Thread-0] REQUEST requestLogger - client : c1 with account number :10004 , transactin : 4, amount: -100
2019-04-14 13:20:14.205 [Thread-0] REQUEST requestLogger - client : c1 with account number :10005 , transactin : 5, amount: 300
2019-04-14 15:18:55.958 [Thread-0] REQUEST requestLogger - client : c1 with account number :10006 , transactin : 1, amount: -300
2019-04-14 15:18:57.307 [Thread-0] REQUEST requestLogger - client : c1 with account number :10002 , transactin : 2, amount: -100
2019-04-14 15:18:59.307 [Thread-0] REQUEST requestLogger - client : c1 with account number :10003 , transactin : 3, amount: 200
2019-04-14 15:19:01.308 [Thread-0] REQUEST requestLogger - client : c1 with account number :10004 , transactin : 4, amount: -100
2019-04-14 15:19:03.308 [Thread-0] REQUEST requestLogger - client : c1 with account number :10005 , transactin : 5, amount: 300
2019-04-14 15:25:07.825 [Thread-0] REQUEST requestLogger - client : c1 with account number :10006 , transactin : 1, amount: -300
2019-04-14 15:25:09.246 [Thread-0] REQUEST requestLogger - client : c1 with account number :10002 , transactin : 2, amount: -100
2019-04-14 15:25:10.389 [Thread-2] REQUEST requestLogger - client : c1 with account number :10006 , transactin : 1, amount: -300
2019-04-14 15:25:11.241 [Thread-0] REQUEST requestLogger - client : c1 with account number :10003 , transactin : 3, amount: 200
2019-04-14 15:25:12.389 [Thread-2] REQUEST requestLogger - client : c1 with account number :10002 , transactin : 2, amount: -100
2019-04-14 15:25:13.241 [Thread-0] REQUEST requestLogger - client : c1 with account number :10004 , transactin : 4, amount: -100
2019-04-14 15:25:14.389 [Thread-2] REQUEST requestLogger - client : c1 with account number :10003 , transactin : 3, amount: 200
2019-04-14 15:25:15.241 [Thread-0] REQUEST requestLogger - client : c1 with account number :10005 , transactin : 5, amount: 300
2019-04-14 15:25:16.389 [Thread-2] REQUEST requestLogger - client : c1 with account number :10004 , transactin : 4, amount: -100
2019-04-14 15:25:18.389 [Thread-2] REQUEST requestLogger - client : c1 with account number :10005 , transactin : 5, amount: 300
2019-04-14 15:27:32.303 [Thread-0] REQUEST requestLogger - client : c1 with account number :10006 , transactin : 1, amount: -300
2019-04-14 15:27:33.740 [Thread-0] REQUEST requestLogger - client : c1 with account number :10002 , transactin : 2, amount: -100
2019-04-14 15:27:34.309 [Thread-2] REQUEST requestLogger - client : c2 with account number :10006 , transactin : 6, amount: -250
2019-04-14 15:27:35.740 [Thread-0] REQUEST requestLogger - client : c1 with account number :10003 , transactin : 3, amount: 200
2019-04-14 15:27:36.309 [Thread-2] REQUEST requestLogger - client : c2 with account number :10007 , transactin : 7, amount: -100
2019-04-14 15:27:37.740 [Thread-0] REQUEST requestLogger - client : c1 with account number :10004 , transactin : 4, amount: -100
2019-04-14 15:27:38.309 [Thread-2] REQUEST requestLogger - client : c2 with account number :10008 , transactin : 8, amount: 200
2019-04-14 15:27:39.740 [Thread-0] REQUEST requestLogger - client : c1 with account number :10005 , transactin : 5, amount: 300
2019-04-14 15:27:40.309 [Thread-2] REQUEST requestLogger - client : c2 with account number :10 , transactin : 9, amount: -100
2019-04-14 15:27:42.309 [Thread-2] REQUEST requestLogger - client : c2 with account number :10010 , transactin : 10, amount: 300
2019-04-15 08:48:05.929 [Thread-0] REQUEST requestLogger - client : c1 with account number :10006 , transactin : 1, amount: -300
2019-04-15 08:48:07.252 [Thread-0] REQUEST requestLogger - client : c1 with account number :10002 , transactin : 2, amount: -100
