2019-04-14 12:50:35.387 - client : c1 with account number :10006 , transactin : 1, amount: -300 condition id: true
2019-04-14 12:50:36.504 - client : c1 with account number :10002 , transactin : 2, amount: -100 condition id: false
2019-04-14 12:50:38.503 - client : c1 with account number :10003 , transactin : 3, amount: 200 condition id: true
2019-04-14 12:50:40.503 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-14 12:50:42.504 - client : c1 with account number :10005 , transactin : 5, amount: 300 condition id: true
2019-04-14 12:51:57.069 - client : c1 with account number :10006 , transactin : 1, amount: -300 condition id: true
2019-04-14 12:51:58.272 - client : c1 with account number :10002 , transactin : 2, amount: -100 condition id: false
2019-04-14 12:52:00.272 - client : c1 with account number :10003 , transactin : 3, amount: 200 condition id: true
2019-04-14 12:52:02.270 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-14 12:52:04.270 - client : c1 with account number :10005 , transactin : 5, amount: 300 condition id: true
2019-04-14 13:00:05.132 - client : c1 with account number :10006 , transactin : 1, amount: -300 condition id: true
2019-04-14 13:00:06.406 - client : c1 with account number :10002 , transactin : 2, amount: -100 condition id: false
2019-04-14 13:00:08.406 - client : c1 with account number :10003 , transactin : 3, amount: 200 condition id: true
2019-04-14 13:00:10.405 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-14 13:00:12.405 - client : c1 with account number :10005 , transactin : 5, amount: 300 condition id: true
2019-04-14 13:00:22.798 - client : c1 with account number :10006 , transactin : 1, amount: -300 condition id: true
2019-04-14 13:00:23.814 - client : c1 with account number :10002 , transactin : 2, amount: -100 condition id: false
2019-04-14 13:00:25.680 - client : c1 with account number :10003 , transactin : 3, amount: 200 condition id: true
2019-04-14 13:00:27.681 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-14 13:00:29.679 - client : c1 with account number :10005 , transactin : 5, amount: 300 condition id: true
2019-04-14 13:04:34.258 - client : c1 with account number :10006 , transactin : 1, amount: -300 condition id: true
2019-04-14 13:04:35.477 - client : c1 with account number :10002 , transactin : 2, amount: -100 condition id: false
2019-04-14 13:04:37.473 - client : c1 with account number :10003 , transactin : 3, amount: 200 condition id: true
2019-04-14 13:04:39.474 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-14 13:04:41.474 - client : c1 with account number :10005 , transactin : 5, amount: 300 condition id: true
2019-04-14 13:17:48.391 - client : c1 with account number :10006 , transactin : 1, amount: -300 condition id: true
2019-04-14 13:17:49.550 - client : c1 with account number :10002 , transactin : 2, amount: -100 condition id: false
2019-04-14 13:17:51.549 - client : c1 with account number :10003 , transactin : 3, amount: 200 condition id: true
2019-04-14 13:17:53.549 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-14 13:17:55.549 - client : c1 with account number :10005 , transactin : 5, amount: 300 condition id: true
2019-04-14 13:20:07.044 - client : c1 with account number :10006 , transactin : 1, amount: -300 condition id: true
2019-04-14 13:20:08.212 - client : c1 with account number :10002 , transactin : 2, amount: -100 condition id: false
2019-04-14 13:20:10.210 - client : c1 with account number :10003 , transactin : 3, amount: 200 condition id: true
2019-04-14 13:20:12.210 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-14 13:20:14.209 - client : c1 with account number :10005 , transactin : 5, amount: 300 condition id: true
2019-04-14 15:18:56.217 - client : c1 with account number :10006 , transactin : 1, amount: -300 condition id: true
2019-04-14 15:18:57.314 - client : c1 with account number :10002 , transactin : 2, amount: -100 condition id: false
2019-04-14 15:18:59.308 - client : c1 with account number :10003 , transactin : 3, amount: 200 condition id: false
2019-04-14 15:19:01.309 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: false
2019-04-14 15:19:03.309 - client : c1 with account number :10005 , transactin : 5, amount: 300 condition id: false
2019-04-14 15:25:08.027 - client : c1 with account number :10006 , transactin : 1, amount: -300 condition id: true
2019-04-14 15:25:09.284 - client : c1 with account number :10002 , transactin : 2, amount: -100 condition id: false
